ipr	description
IPR001250	Mannose-6-phosphate isomerase, type I
IPR001268	NADH:ubiquinone oxidoreductase, 30kDa subunit
IPR001469	ATP synthase, F1 complex, delta/epsilon subunit
IPR001585	Transaldolase/Fructose-6-phosphate aldolase
IPR001656	Pseudouridine synthase, TruD
IPR001765	Carbonic anhydrase
IPR001830	Glycosyl transferase, family 20
IPR001907	ATP-dependent Clp protease proteolytic subunit
IPR002041	Ran GTPase
IPR002056	Protein import receptor MAS20
IPR002319	Phenylalanyl-tRNA synthetase
IPR002456	GPCR family 3, gamma-aminobutyric acid receptor, type B1
IPR002468	Peptidase M24A, methionine aminopeptidase, subfamily 2
IPR002489	Glutamate synthase, alpha subunit, C-terminal
IPR002569	Peptide methionine sulphoxide reductase MsrA domain
IPR002730	Ribonuclease P protein subunit Rpp29/RNP1
IPR002842	V-type ATPase subunit E
IPR002853	Transcription initiation factor IIE subunit alpha, N-terminal
IPR002932	Glutamate synthase domain
IPR002995	Surfeit locus 4
IPR003164	Clathrin adaptor, alpha-adaptin, appendage, C-terminal subdomain
IPR003406	Glycosyl transferase, family 14
IPR003769	Adaptor protein ClpS, core
IPR003874	CDC45 family
IPR003950	Potassium channel, voltage-dependent, ELK
IPR004023	Mago nashi protein
IPR004113	FAD-binding oxidoreductase/transferase, type 4, C-terminal
IPR004125	Signal recognition particle, SRP54 subunit, M-domain
IPR004140	Exocyst complex component Exo70
IPR004193	Glycoside hydrolase, family 13, N-terminal
IPR004323	Divalent ion tolerance protein, CutA
IPR004353	Vacuolar fusion protein Mon1
IPR004514	Glutamine-tRNA synthetase
IPR004529	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit
IPR004530	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial
IPR004557	Eukaryotic/archaeal PrmC-related
IPR004579	ERCC1/RAD10/SWI10 family
IPR004607	Phosphoribosylglycinamide formyltransferase
IPR004730	Transaldolase type 1
IPR004790	Isocitrate dehydrogenase NADP-dependent
IPR004908	ATPase, V1 complex, subunit H
IPR004932	Retrieval of early ER protein Rer1
IPR004971	mRNA (guanine-N(7))-methyltransferase domain
IPR004981	Tryptophan 2,3-dioxygenase
IPR005043	Exportin-2, C-terminal
IPR005101	Cryptochrome/DNA photolyase, FAD-binding domain
IPR005124	Vacuolar (H+)-ATPase G subunit
IPR005148	Arginyl tRNA synthetase N-terminal domain
IPR005339	GINS complex, subunit Psf1
IPR005344	TMEM33/Pom33 family
IPR005455	Profilin
IPR005579	Cgr1-like
IPR005595	Translocon-associated protein (TRAP), alpha subunit
IPR005662	GTPase Era
IPR005683	Mitochondrial import receptor subunit Tom22
IPR005744	Hly-III
IPR005782	P-type ATPase, subfamily  IIA, SERCA-type
IPR005813	Ribosomal protein L20
IPR005996	Ribosomal protein L30, bacterial-type
IPR006005	Glutamate synthase, NADH/NADPH, small subunit 1
IPR006019	Phosphotyrosine interaction  domain, Shc-like
IPR006223	Glycine cleavage system T protein
IPR006289	Transcription elongation factor, TFIIS
IPR006545	EYA domain
IPR006581	VPS10
IPR006588	Peptide N glycanase, PAW domain
IPR006614	Peroxin/Ferlin domain
IPR006628	Purine-rich element binding protein family
IPR006674	HD domain
IPR006759	Glycosyl transferase family 54
IPR006769	Calcium uniporter protein, C-terminal
IPR006806	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5
IPR006809	TAFII28-like protein domain
IPR006818	Histone chaperone ASF1-like
IPR006884	Fzo/mitofusin HR2 domain
IPR006931	Calcipressin
IPR006939	SNF5/SMARCB1/INI1
IPR006953	Vesicle tethering protein Uso1/P115-like , head domain
IPR006964	NUDE domain
IPR006990	Tweety
IPR007000	Phospholipase B-like
IPR007014	FUN14
IPR007018	Mediator complex, subunit Med6
IPR007019	Surfeit locus 6
IPR007023	Ribosomal biogenesis regulatory protein
IPR007193	Up-frameshift suppressor 2, C-terminal
IPR007204	Actin-related protein 2/3 complex subunit 3
IPR007207	CCR4-Not complex component, Not N-terminal domain
IPR007223	Peroxin 13, N-terminal
IPR007243	Atg6/Beclin
IPR007244	-alpha-acetyltransferase 35, NatC auxiliary subunit
IPR007246	GPI transamidase component Gaa1
IPR007257	DNA replication complex GINS protein Psf2
IPR007266	Endoplasmic reticulum oxidoreductin 1
IPR007268	Rad9/Ddc1
IPR007282	NOT2/NOT3/NOT5, C-terminal
IPR007311	ST7
IPR007317	Golgi to ER traffic protein 4
IPR007472	N-end rule aminoacyl transferase, C-terminal
IPR007512	MICOS complex subunit Mic10
IPR007594	RFT1
IPR007599	Derlin
IPR007653	Signal peptidase complex subunit 3
IPR007676	Ribophorin I
IPR007720	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q/GPI1
IPR007740	Ribosomal protein L49/IMG2
IPR007747	Menin
IPR007785	Anamorsin
IPR007834	DSS1/SEM1
IPR007866	TRIC channel
IPR007955	Bystin
IPR007965	Gcn5-related N-acetyltransferase (GNAT) domain, ATAT-type
IPR007991	RNA polymerase I specific transcription initiation factor RRN3
IPR007992	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, CybS
IPR008010	Tapt1 family
IPR008012	Proteasome maturation factor Ump1
IPR008047	Mini-chromosome maintenance complex protein 4
IPR008049	DNA replication licensing factor Mcm6
IPR008050	DNA replication licensing factor Mcm7
IPR008366	Nuclear factor of activated T cells (NFAT)
IPR008409	Pre-mRNA-splicing factor SPF27
IPR008465	Dystroglycan, C-terminal
IPR008468	DNA methyltransferase 1-associated 1
IPR008477	Tumor necrosis factor alpha-induced protein 8-like
IPR008494	Protein of unknown function DUF776
IPR008530	Coiled-coil domain-containing protein 22
IPR008564	Golgi apparatus membrane protein TVP23-like
IPR008591	GINS complex subunit Sld5
IPR008606	Eukaryotic translation initiation factor 4E binding
IPR008636	Hook, C-terminal
IPR008689	ATP synthase, F0 complex, subunit D, mitochondrial
IPR008853	TMEM9/TMEM9B
IPR009066	Alpha-2-macroglobulin receptor-associated protein, domain 1
IPR009073	Co-chaperone HscB, C-terminal oligomerisation domain
IPR009076	FKBP12-rapamycin binding domain
IPR009109	Ran-GTPase activating protein 1, C-terminal
IPR009244	Mediator complex, subunit Med7
IPR009292	rRNA biogenesis protein RRP36
IPR009346	GRIM-19
IPR009360	Pre-mRNA-splicing factor Isy1
IPR009374	Eukaryotic translation initiation factor 3 subunit K
IPR009423	NADH dehydrogenase [ubiquinone] 1 subunit C2, NDUC2
IPR009445	TMEM85/ER membrane protein complex subunit 4
IPR009539	Vang-like protein
IPR009622	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4
IPR009652	Programmed cell death protein 10
IPR009685	Male enhanced antigen 1
IPR009724	TMEM70 family
IPR009772	Cell division cycle protein 123
IPR009792	Transmembrane protein 242
IPR009947	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7
IPR009991	Dynactin subunit 3
IPR010122	Hydroxymethylglutaryl-CoA synthase, eukaryotic
IPR010334	mRNA-decapping enzyme subunit 1
IPR010358	BRCA1-A complex subunit BRE
IPR010422	Coiled-coil domain-containing protein 124/Oxs1
IPR010431	Fascin
IPR010432	RDD
IPR010482	Peroxin domain
IPR010483	Alpha-2-macroglobulin RAP, C-terminal
IPR010516	Sin3 associated polypeptide p18
IPR010565	Muskelin, N-terminal
IPR010635	Heparan sulphate 6-sulfotransferase/Protein-tyrosine sulfotransferase
IPR010678	U3 small nucleolar RNA-associated protein 25
IPR010695	Fas apoptotic inhibitory molecule 1
IPR010711	Group XII secretory phospholipase A2 precursor
IPR010729	Ribosomal protein L47, mitochondrial
IPR010776	Homologous-pairing protein 2, winged helix domain
IPR010849	Gonadal family
IPR011387	Translation initiation factor 2A
IPR011407	10-formyltetrahydrofolate dehydrogenase
IPR011421	BCNT-C domain
IPR011422	BRCA1-associated 2
IPR011666	G patch domain-containing protein, N-terminal
IPR011678	ER membrane protein complex subunit 1, C-terminal
IPR011679	Endoplasmic reticulum resident protein 29, C-terminal
IPR011947	FCP1-like phosphatase, phosphatase domain
IPR012270	CCR4-NOT complex, subunit 3/ 5
IPR012345	STAT transcription factor, DNA-binding, N-terminal
IPR012577	NIPSNAP
IPR012715	T-complex protein 1, alpha subunit
IPR012716	T-complex protein 1, beta subunit
IPR012911	Protein serine/threonine phosphatase 2C, C-terminal
IPR012926	Ion channel TACAN/TMEM120B
IPR012943	Centrosomin, N-terminal motif 1
IPR012945	Tubulin binding cofactor C-like domain
IPR013037	Clathrin adaptor, beta-adaptin, appendage, Ig-like subdomain
IPR013136	WSTF/Acf1/Cbp146
IPR013167	Conserved oligomeric Golgi complex, subunit 4
IPR013219	Ribosomal protein S27/S33, mitochondrial
IPR013523	Histone acetyltransferase HAT1, C-terminal
IPR013528	Hydroxymethylglutaryl-coenzyme A synthase, N-terminal
IPR013537	Acetyl-CoA carboxylase, central domain
IPR013599	TRAM1-like protein
IPR013636	Armadillo-like helical domain-containing protein 3, C-terminal
IPR013697	DNA polymerase epsilon, catalytic subunit A, C-terminal
IPR013746	Hydroxymethylglutaryl-coenzyme A synthase, C-terminal domain
IPR013799	STAT transcription factor, protein interaction
IPR013800	STAT transcription factor, all-alpha domain
IPR013801	STAT transcription factor, DNA-binding
IPR013861	TMEM115/Pdh1/Rbl19
IPR013906	Eukaryotic translation initiation factor 3 subunit J
IPR013932	TATA-binding protein interacting (TIP20)
IPR013953	FACT complex subunit Spt16 domain
IPR014039	Translation elongation factor EFTs/EF1B, dimerisation
IPR014387	CDP-diacylglycerol-inositol 3-phosphatidyltransferase, eukaryote
IPR014742	Adaptor protein Cbl, SH2-like domain
IPR014889	Transcription factor DP, C-terminal
IPR015007	Nuclear pore complex, NUP2/50/61
IPR015036	E3 ubiquitin-protein ligase NRDP1
IPR015047	Synaptojanin-1/2, RNA recognition motif
IPR015120	Siah interacting protein, N-terminal
IPR015151	Beta-adaptin appendage, C-terminal subdomain
IPR015221	Ubiquitin-related modifier 1
IPR015267	Protein phosphatase 4 core regulatory subunit R2
IPR015311	DNA fragmentation factor 40, C-terminal
IPR015324	Ribosomal protein Rsm22-like
IPR015342	Peroxisomal ATPase PEX1, N-terminal C-lobe
IPR015418	Chromatin modification-related protein Eaf6
IPR015445	TATA-Box binding protein-like
IPR015648	Transcription factor DP
IPR015664	P53-induced protein
IPR015672	The Golgi pH regulator/GPCR-type G protein
IPR015904	Sulphide quinone-reductase
IPR016020	Translation initiation factor 3, subunit 12, N-terminal, eukaryotic
IPR016164	FAD-linked oxidase-like, C-terminal
IPR016171	Vanillyl-alcohol oxidase, C-terminal subdomain 2
IPR016305	Mannose-6-phosphate isomerase
IPR016437	MCT-1/Tma20
IPR016447	Translocation associated membrane protein
IPR016453	Coatomer beta' subunit (COPB2)
IPR016528	Vacuolar protein sorting-associated protein 11
IPR016654	U6 snRNA-associated Sm-like protein LSm2
IPR016685	RNA-induced silencing complex, nuclease component Tudor-SN
IPR016706	Cleavage/polyadenylation specificity factor subunit 5
IPR016720	Phosphatidate cytidylyltransferase, eukaryota
IPR016848	Ribonuclease P/MRP subunit Rpp29
IPR016855	Endoplasmic reticulum resident protein 29
IPR016901	Anaphase-promoting complex subunit APC10/Doc1
IPR017104	Adaptor protein complex AP-2, alpha subunit
IPR017137	Arginine-tRNA-protein transferase 1, eukaryotic
IPR017336	Snurportin-1
IPR017375	Peroxisome assembly protein 12
IPR017380	Histone acetyltransferase type B, catalytic subunit
IPR017383	Actin-related protein 2/3 complex subunit 1
IPR017874	CRIC domain
IPR017916	Steadiness box (SB) domain
IPR018026	DNA repair protein Rad4, subgroup
IPR018105	Translationally controlled tumour protein
IPR018305	Ribosomal protein L50, mitochondria
IPR018326	Rad4 beta-hairpin domain 1
IPR018327	Rad4 beta-hairpin domain 2
IPR018472	Growth arrest/ DNA-damage-inducible protein-interacting protein 1
IPR018544	KICSTOR subunit 2
IPR018545	Btz domain
IPR018556	SPIN90/Ldb17, leucine-rich domain
IPR018618	Vacuolar import/degradation protein Vid24
IPR018731	Autophagy-related protein 13, N-terminal
IPR018781	Transmembrane protein TPRA1/CAND2/CAND8
IPR018791	UV radiation resistance protein/autophagy-related protein 14
IPR018795	Uncharacterized protein KIAA2013-like
IPR018800	Proline-rich protein PRCC
IPR018801	E3 ubiquitin-protein ligase TM129
IPR018972	Sas10 C-terminal domain
IPR019095	Mediator complex, subunit Med18
IPR019159	CCDC93, coiled-coil domain
IPR019168	Nuclear envelope phosphatase-regulatory subunit 1
IPR019176	Cytochrome B561-related
IPR019177	Golgin subfamily A member 5
IPR019183	N-alpha-acetyltransferase 25, NatB auxiliary subunit
IPR019194	Transcription elongation factor Eaf, N-terminal
IPR019312	CCR4-NOT transcription complex subunit 11
IPR019325	NEDD4/Bsd2
IPR019333	Integrator complex subunit 3, N-terminal
IPR019340	Histone acetyltransferases subunit 3
IPR019343	Protein phosphatase 1 regulatory subunit 21, N-terminal
IPR019344	Mitochondrial F1-F0 ATP synthase subunit F, predicted
IPR019349	Ribosomal protein S24/S35, mitochondrial, conserved domain
IPR019359	CCDC85 family
IPR019373	Ribosomal protein L51, mitochondrial
IPR019389	Selenoprotein T
IPR019397	Uncharacterised protein family TMEM39
IPR019400	Peptidase C65, otubain
IPR019403	Mediator complex, subunit Med19, metazoa
IPR019404	Mediator complex, subunit Med11
IPR019440	Chromatid cohesion factor MAU2
IPR019451	RNA polymerase II assembly factor Rtp1, C-terminal
IPR019452	Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
IPR019467	Histone acetyl transferase HAT1 N-terminal
IPR019529	SNARE-complex protein Syntaxin-18, N-terminal
IPR019537	Transmembrane protein 65
IPR019547	Lipid desaturase domain
IPR020546	ATP synthase, F1 complex, delta/epsilon subunit, N-terminal
IPR021013	ATPase, vacuolar ER assembly factor, Vma12
IPR021454	Protein of unknown function DUF3105
IPR021520	Stealth protein CR2, conserved region 2
IPR021565	Rabenosyn, Rab binding domain
IPR021600	Transcription factor TFIIE alpha subunit, C-terminal
IPR021720	Malectin domain
IPR021774	Cytohesin Ubiquitin Protein Inducing Domain
IPR021841	Vacuolar protein 14, C-terminal Fig4-binding domain
IPR021906	SWI/SNF-like complex subunit BAF250/Osa
IPR021911	ATPase family AAA domain-containing protein 3, N-terminal
IPR022035	PCIF1, WW domain
IPR022056	CpG binding protein, C-terminal
IPR022165	Polo kinase kinase
IPR022166	UBAP2/protein lingerer
IPR022170	E3 Ubiquitin ligase MUL1-like
IPR022175	BCAS3 domain
IPR022179	Cilia- and flagella-associated protein 276
IPR022422	Protein import receptor MAS20, metazoan
IPR022535	Golgi pH regulator, conserved domain
IPR022652	Zinc finger, XPA-type, conserved site
IPR022656	XPA, C-terminal
IPR022768	Fascin domain
IPR022941	Signal recognition particle, SRP54 subunit
IPR023165	rRNA adenine dimethylase-like, C-terminal
IPR023194	Eukaryotic translation initiation factor 3-like domain superfamily
IPR023370	TrmO-like, N-terminal domain
IPR023392	Mitochondrial outer membrane translocase complex, Tom20 domain superfamily
IPR023410	14-3-3 domain
IPR023534	Rof/RNase P-like
IPR023562	Clp protease proteolytic subunit /Translocation-enhancing protein TepA
IPR024145	Histone deacetylase complex subunit SAP30/SAP30-like
IPR024166	Ribosomal RNA assembly KRR1
IPR024205	Mst1 SARAH domain
IPR024448	Xylosyltransferase, C-terminal
IPR024550	TFIIEalpha/SarR/Rpc3 HTH domain
IPR024613	Huntingtin, middle-repeat
IPR024626	Kri1-like, C-terminal
IPR024657	COMPASS complex Set1 subunit, N-SET domain
IPR024660	UNC-45/Cro1/She4, central domain
IPR024689	Proteasome beta subunit, C-terminal
IPR024761	Transcription factor IIIC, 90kDa subunit, N-terminal
IPR024763	Vacuolar protein sorting protein 11, C-terminal
IPR024811	Polycomb protein ASX/ASX-like
IPR025136	MAP3K, TRAFs-binding domain
IPR025650	Alkyldihydroxyacetonephosphate synthase
IPR025654	Peroxisome biogenesis factor 2/10
IPR025712	Nucleoporin Nup54, alpha-helical domain
IPR025717	Histone deacetylase complex subunit SAP30 zinc-finger
IPR025718	Histone deacetylase complex subunit SAP30, Sin3 binding domain
IPR025852	Ataxin 2, SM domain
IPR025884	Methyl-CpG binding protein 2/3, C-terminal domain
IPR025927	Potential DNA-binding domain
IPR025969	Abscisic acid G-protein coupled receptor-like domain
IPR026015	F1F0 ATP synthase OSCP/delta subunit, N-terminal domain superfamily
IPR026046	UbiA prenyltransferase domain containing protein 1
IPR026059	Rab3GAP regulatory subunit
IPR026111	Actin-binding Rho-activating protein
IPR026112	Amnionless
IPR026126	BRISC and BRCA1-A complex member 1
IPR026164	Integrator complex subunit 10
IPR026170	N-lysine methyltransferase FAM173A/B
IPR026172	Gamma-secretase-activating protein family
IPR026182	Anaphase-promoting complex subunit 15
IPR026236	Integrator complex subunit 2, metazoa
IPR026306	RSBN1/Dpy-21
IPR026316	KAT8 regulatory NSL complex subunit 2
IPR026570	Coiled-coil domain-containing protein 86
IPR026683	Serine/threonine-protein kinase TOR, catalytic domain
IPR026697	Dynein axonemal assembly factor 6
IPR026739	AP complex subunit beta
IPR026757	Endosome-associated-trafficking regulator 1
IPR026817	Guanine nucleotide exchange factor Ect2
IPR026825	Vacuole morphology and inheritance protein 14
IPR026828	Suppressor APC domain-containing protein 1/2
IPR026895	ER membrane protein complex subunit 1
IPR027081	CyclinH/Ccl1
IPR027093	EAF family
IPR027109	SWR1-complex protein 4/DNA methyltransferase 1-associated protein 1
IPR027113	Transcription factor NFYB/HAP3
IPR027131	Structural maintenance of chromosomes protein 5
IPR027193	Nucleolar complex protein 4
IPR027468	Alpha-dystroglycan domain 2
IPR027684	Tubulin-specific chaperone C
IPR027817	Costars domain
IPR027844	Integrator complex subunit 15
IPR027986	T-cell activation inhibitor, mitochondrial
IPR027989	Domain of unknown function DUF4461
IPR027993	Protein of unknown function DUF4495
IPR028010	Gamma-secretase-activating protein, C-terminal domain
IPR028020	ASX, DEUBAD domain
IPR028031	Domain of unknown function DUF4460
IPR028084	Folliculin-interacting protein, N-terminal domain
IPR028085	Folliculin-interacting protein, middle domain
IPR028124	Small acidic protein-like domain
IPR028133	Dynamitin
IPR028167	BLOC-2 complex member HPS3, central region
IPR028226	Protein LIN37
IPR028426	Huntingtin family
IPR028433	Parvin
IPR028435	Plakophilin/Delta catenin
IPR028472	Eyes absent family
IPR028544	Protein CASC3
IPR029123	Splicing factor RBM39, linker
IPR029148	FACT complex subunit Spt16, N-terminal lobe domain
IPR029169	PEST proteolytic signal-containing nuclear protein
IPR029190	Ribosomal RNA-processing protein 14/surfeit locus protein 6, C-terminal domain
IPR029196	Telomere attrition and p53 response 1 protein-like
IPR029205	Aftiphilin, clathrin-binding box
IPR029257	Rab3GAP regulatory subunit, C-terminal
IPR029274	Protein of unknown function DUF4615
IPR029307	INTS6/SAGE1/DDX26B/CT45, C-terminal
IPR029338	Tumour suppressing sub-chromosomal transferable candidate 4
IPR029390	AP-3 complex subunit beta, C-terminal domain
IPR029404	CDAN1-interacting nuclease 1
IPR029440	Dynein regulatory complex protein 1, C-terminal
IPR029454	ODR-4-like
IPR029489	O-GlcNAc transferase, C-terminal
IPR029703	DNA polymerase epsilon catalytic subunit
IPR029704	STEEP-like
IPR029765	Diphosphomevalonate decarboxylase
IPR030225	Sterol regulatory element-binding protein cleavage-activating protein
IPR031121	KH domain containing protein RIK/BLOM7
IPR031354	Bromodomain protein 4, C-terminal
IPR031356	Stealth protein CR4, conserved region 4
IPR031357	Stealth protein CR3, conserved region 3
IPR031358	Stealth protein CR1, conserved region 1
IPR031658	Cyclin, C-terminal domain 2
IPR031660	C-terminal associated domain of TOPRIM
IPR031777	Sortilin, C-terminal
IPR031778	Sortilin, N-terminal
IPR031782	LKB1 serine/threonine kinase interacting protein 1, N-terminal
IPR031813	Domain of unknown function DUF4745
IPR031905	Flotillin, C-terminal domain
IPR031925	Tubulin-specific chaperone C, N-terminal
IPR031953	mRNA-decapping enzyme, C-terminal
IPR032003	Ribosome-associated complex head domain
IPR032029	ADAM17, membrane-proximal domain
IPR032076	Tetratricopeptide repeat protein 5, OB fold domain
IPR032108	CLIP1, zinc knuckle
IPR032171	C-terminal of Roc (COR) domain
IPR032197	Ubiquitin-like modifier-activating enzyme Atg7, N-terminal
IPR032270	AMPK, C-terminal adenylate sensor domain
IPR032343	Methyl-CpG-binding domain protein 2/3, p55-binding region
IPR032346	Transcriptional repressor p66, coiled-coil MBD2-interaction domain
IPR032350	Next to BRCA1, central domain
IPR032374	SGTA, homodimerisation domain
IPR032403	Exocyst component Exo84, C-terminal
IPR032432	Radical SAM, C-terminal extension
IPR032435	STML2-like, C-terminal extension
IPR032438	ERCC3/RAD25/XPB helicase, C-terminal domain
IPR032478	Staufen, C-terminal
IPR032563	DAMP1, SANT/Myb-like domain
IPR032830	Helicase XPB/Ssl2, N-terminal domain
IPR032835	Rho GTPase-activating protein, FF domain
IPR032839	Rab3-GAP regulatory subunit, N-terminal
IPR032963	Glutamate--cysteine ligase regulatory subunit
IPR033034	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9
IPR033100	Exosome complex component RRP45
IPR033102	Negative elongation factor E
IPR033270	VPRBP/DCAF1 family
IPR033370	Conserved oligomeric Golgi complex subunit 1
IPR033371	Arginine and glutamate-rich protein 1
IPR033378	Protein BRICK1
IPR033388	SWI/SNF-like complex subunit BAF250, C-terminal
IPR033708	Isoleucyl tRNA synthetase type 1, anticodon-binding domain
IPR033757	Pre-mRNA-splicing regulator WTAP
IPR033774	Yaf2/RYBP C-terminal binding motif
IPR033931	PDK1-type, PH domain
IPR033961	Exocyst complex component Exo84
IPR034101	Sm-like protein Lsm4
IPR034103	Sm-like protein Lsm8
IPR034104	Sm-like protein Lsm1
IPR034105	Sm-like protein Lsm3
IPR034157	DNA topoisomerase 2, TOPRIM domain
IPR034203	RBM45, RNA recognition motif 1
IPR034217	SART3, RNA recognition motif 1
IPR034261	CNOT4, RNA recognition motif
IPR034268	RBM25, RNA recognition motif
IPR034334	Prostaglandin E synthase 2
IPR034335	Prostaglandin E synthase 2, C-terminal
IPR034653	SPF45, RNA recognition motif
IPR034687	Elongator complex protein 3-like
IPR034784	PDIP3, RNA recognition motif
IPR035100	Transcription elongation factor, IIS-type
IPR035463	Peroxin 13
IPR035497	Caskin1/2, SAM repeat 1
IPR035531	GTP binding protein 1-like, GTP-binding domain
IPR035566	Ribosomal protein L20, C-terminal
IPR035652	RasGAP, SH3 domain
IPR035653	Alpha-(1,6)-fucosyltransferase, SH3 domain
IPR035676	SH2 adaptor protein C, SH2 domain
IPR035778	Heterogeneous nuclear ribonucleoprotein U, SPRY domain
IPR035833	SGSM3, SH3 domain
IPR035980	Ribosomal protein S6 superfamily
IPR036002	Stathmin superfamily
IPR036119	Nitric oxide synthase, N-terminal domain superfamily
IPR036228	ATP synthase, F0 complex, subunit D superfamily, mitochondrial
IPR036356	Endoplasmic reticulum resident protein 29, C-terminal domain superfamily
IPR036386	HscB, C-terminal domain superfamily
IPR036402	Elongation factor Ts, dimerisation domain superfamily
IPR036413	YaeB-like superfamily
IPR036414	YaeB, N-terminal domain superfamily
IPR036485	Glutamate synthase, alpha subunit, C-terminal domain superfamily
IPR036509	Peptide methionine sulphoxide reductase MsrA superfamily
IPR036531	Rabenosyn, Rab binding domain superfamily
IPR036535	STAT transcription factor, N-terminal domain superfamily
IPR036580	Phosphatase 2C, C-terminal domain superfamily
IPR036605	Mago nashi superfamily
IPR036607	Glucosidase 2 subunit beta-like
IPR036695	Arginyl tRNA synthetase N-terminal domain superfamily
IPR036720	Ran-GTPase activating protein 1, C-terminal domain superfamily
IPR036738	FKBP12-rapamycin binding domain superfamily
IPR036744	RAP domain superfamily
IPR036747	Histone chaperone ASF1-like superfamily
IPR036753	Actin-related protein 2/3 complex subunit 3 superfamily
IPR036771	F0F1 ATP synthase delta/epsilon subunit, N-terminal
IPR036815	14-3-3 domain superfamily
IPR036874	Carbonic anhydrase superfamily
IPR036891	Signal recognition particle, SRP54 subunit, M-domain superfamily
IPR036980	Ribonuclease P/MRP subunit Rpp29 superfamily
IPR037022	Formyl transferase, C-terminal domain superfamily
